province,location,year,latinName,commonName,counts,catched,adult,pulli,not_catched
Antwerpen,Dessel,2018,Anser anser,Grauwe gans,31,,,,
Antwerpen,Dessel,2018,Anser anser forma domesticus,Soepgans,0,,,,
Antwerpen,Dessel,2018,Anser brachyrhynchus,Kleine rietgans,0,,,,
Antwerpen,Dessel,2018,Anser cygnoides forma domestica,Zwaangans,0,,,,
Antwerpen,Dessel,2018,Anser erythropus,Dwerggans,0,,,,
Antwerpen,Dessel,2018,Anser indicus,Indische gans,0,,,,
Antwerpen,Dessel,2018,Branta canadensis,Canadese gans,34,,,,
Antwerpen,Dessel,2018,Branta leucopsis,Brandgans,0,,,,
Antwerpen,Dessel,2018,Branta ruficollis,Roodhalsgans,0,,,,
Antwerpen,Dessel,2018,Chloephaga picta,Magelhaengans,0,,,,
Antwerpen,Duffel,2013,Alopochen aegyptiacus,Nijlgans,225,,,,
Antwerpen,Duffel,2013,Anser albifrons,Kolgans,0,,,,
Antwerpen,Duffel,2013,Anser anser,Grauwe gans,0,,,,
Antwerpen,Duffel,2013,Anser anser forma domesticus,Soepgans,0,,,,
Antwerpen,Duffel,2013,Anser brachyrhynchus,Kleine rietgans,0,,,,
Antwerpen,Duffel,2013,Anser cygnoides forma domestica,Zwaangans,0,,,,
Antwerpen,Duffel,2013,Anser erythropus,Dwerggans,0,,,,
Antwerpen,Duffel,2013,Anser indicus,Indische gans,0,,,,
Antwerpen,Duffel,2013,Branta canadensis,Canadese gans,4,,,,
Antwerpen,Duffel,2013,Branta leucopsis,Brandgans,0,,,,
Antwerpen,Duffel,2013,Branta ruficollis,Roodhalsgans,0,,,,
Antwerpen,Duffel,2013,Chloephaga picta,Magelhaengans,0,,,,
Antwerpen,Duffel,2014,Alopochen aegyptiacus,Nijlgans,0,,,,
Antwerpen,Duffel,2014,Anser albifrons,Kolgans,0,,,,
Antwerpen,Duffel,2014,Anser anser,Grauwe gans,0,,,,
Antwerpen,Duffel,2014,Anser anser forma domesticus,Soepgans,10,1,1,0,0
Antwerpen,Duffel,2014,Anser brachyrhynchus,Kleine rietgans,0,,,,
Antwerpen,Duffel,2014,Anser cygnoides forma domestica,Zwaangans,0,,,,
Antwerpen,Duffel,2014,Anser erythropus,Dwerggans,0,,,,
Antwerpen,Duffel,2014,Anser indicus,Indische gans,0,,,,
Antwerpen,Duffel,2014,Branta canadensis,Canadese gans,5,97,90,7,0
Antwerpen,Duffel,2014,Branta leucopsis,Brandgans,0,,,,
Antwerpen,Duffel,2014,Branta ruficollis,Roodhalsgans,0,,,,
Antwerpen,Duffel,2014,Chloephaga picta,Magelhaengans,0,,,,
Antwerpen,Duffel,2015,Alopochen aegyptiacus,Nijlgans,373,,,,
Antwerpen,Duffel,2015,Anser albifrons,Kolgans,0,,,,
Antwerpen,Duffel,2015,Anser anser,Grauwe gans,0,,,,
Antwerpen,Duffel,2015,Anser anser forma domesticus,Soepgans,13,,,,
Antwerpen,Duffel,2015,Anser brachyrhynchus,Kleine rietgans,0,,,,
Antwerpen,Duffel,2015,Anser cygnoides forma domestica,Zwaangans,0,,,,
Antwerpen,Duffel,2015,Anser erythropus,Dwerggans,0,,,,
Antwerpen,Duffel,2015,Anser indicus,Indische gans,0,,,,
Antwerpen,Duffel,2015,Branta canadensis,Canadese gans,0,,,,
Antwerpen,Duffel,2015,Branta leucopsis,Brandgans,0,,,,
Antwerpen,Duffel,2015,Branta ruficollis,Roodhalsgans,0,,,,
Antwerpen,Duffel,2015,Chloephaga picta,Magelhaengans,0,,,,
Antwerpen,Duffel,2016,Alopochen aegyptiacus,Nijlgans,0,,,,
Antwerpen,Duffel,2016,Anser albifrons,Kolgans,0,,,,
Antwerpen,Duffel,2016,Anser anser,Grauwe gans,0,,,,
Antwerpen,Duffel,2016,Anser anser forma domesticus,Soepgans,9,,,,
Antwerpen,Duffel,2016,Anser brachyrhynchus,Kleine rietgans,0,,,,
Antwerpen,Duffel,2016,Anser cygnoides forma domestica,Zwaangans,0,,,,
Antwerpen,Duffel,2016,Anser erythropus,Dwerggans,0,,,,
