gbifID	occurrenceID	scientificName	taxonKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	eventDate	basisOfRecord	sex	lifeStage	individualCount
5901037666	6-1659840	Procyon lotor (Linnaeus, 1758)	5218786	50.39463	5.644321	49	2025-03-26	HUMAN_OBSERVATION			1
5901037664	6-1653270	Procyon lotor (Linnaeus, 1758)	5218786	50.111076	5.56593	49	2025-03-20	HUMAN_OBSERVATION			7
5901037662	6-1644328	Procyon lotor (Linnaeus, 1758)	5218786	49.880952	5.732498	2828	2023	HUMAN_OBSERVATION			2
5901037661	6-1644327	Procyon lotor (Linnaeus, 1758)	5218786	49.880952	5.732498	2828	2023	HUMAN_OBSERVATION			1
5901037658	6-1644326	Procyon lotor (Linnaeus, 1758)	5218786	49.880952	5.732498	2828	2023	HUMAN_OBSERVATION			1
5901037654	6-1644324	Procyon lotor (Linnaeus, 1758)	5218786	49.880952	5.732498	2828	2023	HUMAN_OBSERVATION			1
5901037652	6-1644323	Procyon lotor (Linnaeus, 1758)	5218786	49.880952	5.732498	2828	2023	HUMAN_OBSERVATION			1
5901037650	6-1644321	Procyon lotor (Linnaeus, 1758)	5218786	49.880952	5.732498	2828	2023	HUMAN_OBSERVATION			1
5901037640	6-1642157	Procyon lotor (Linnaeus, 1758)	5218786	49.748378	5.52971	49	2025-03-26	HUMAN_OBSERVATION			1
5901037636	6-1644339	Procyon lotor (Linnaeus, 1758)	5218786	49.880952	5.732498	2828	2023	HUMAN_OBSERVATION			1
5901037635	6-1644338	Procyon lotor (Linnaeus, 1758)	5218786	49.880952	5.732498	2828	2023	HUMAN_OBSERVATION			1
5901037633	6-1644337	Procyon lotor (Linnaeus, 1758)	5218786	49.880952	5.732498	2828	2023	HUMAN_OBSERVATION			1
5901037631	6-1644336	Procyon lotor (Linnaeus, 1758)	5218786	49.880952	5.732498	2828	2023	HUMAN_OBSERVATION			1
5901037630	6-1644335	Procyon lotor (Linnaeus, 1758)	5218786	49.880952	5.732498	2828	2023	HUMAN_OBSERVATION			1
5901037628	6-1644334	Procyon lotor (Linnaeus, 1758)	5218786	49.880952	5.732498	2828	2023	HUMAN_OBSERVATION			1
5901037626	6-1644333	Procyon lotor (Linnaeus, 1758)	5218786	49.880952	5.732498	2828	2023	HUMAN_OBSERVATION			1
5901037625	6-1644332	Procyon lotor (Linnaeus, 1758)	5218786	49.880952	5.732498	2828	2023	HUMAN_OBSERVATION			1
5901037624	6-1644331	Procyon lotor (Linnaeus, 1758)	5218786	49.880952	5.732498	2828	2023	HUMAN_OBSERVATION			1
5901037623	6-1644330	Procyon lotor (Linnaeus, 1758)	5218786	49.880952	5.732498	2828	2023	HUMAN_OBSERVATION			1
5901037611	6-1642129	Procyon lotor (Linnaeus, 1758)	5218786	49.793592	5.472952	49	2025-04-09	HUMAN_OBSERVATION			1
5901037609	6-1644308	Procyon lotor (Linnaeus, 1758)	5218786	49.880952	5.732498	2828	2023	HUMAN_OBSERVATION			1
5901037607	6-1644306	Procyon lotor (Linnaeus, 1758)	5218786	49.880952	5.732498	2828	2023	HUMAN_OBSERVATION			1
5901037606	6-1644789	Procyon lotor (Linnaeus, 1758)	5218786	49.881599	5.676853	2828	2024	HUMAN_OBSERVATION			1
5901037605	6-1644305	Procyon lotor (Linnaeus, 1758)	5218786	49.880952	5.732498	2828	2023	HUMAN_OBSERVATION			1
5901037604	6-1644788	Procyon lotor (Linnaeus, 1758)	5218786	49.881599	5.676853	2828	2024	HUMAN_OBSERVATION			1
5901037603	6-1644304	Procyon lotor (Linnaeus, 1758)	5218786	49.880952	5.732498	2828	2023	HUMAN_OBSERVATION			1
5901037602	12-19314	Procyon lotor (Linnaeus, 1758)	5218786	49.923326	4.960675	49	2025-11-18	HUMAN_OBSERVATION			4
5901037601	6-1644787	Procyon lotor (Linnaeus, 1758)	5218786	49.881599	5.676853	2828	2024	HUMAN_OBSERVATION			1
5901037600	6-1644786	Procyon lotor (Linnaeus, 1758)	5218786	49.881599	5.676853	2828	2024	HUMAN_OBSERVATION			1
