id,date,species,n_fishes,n_traps,location_id,location_name,location_x,location_y,weight,weight_total,weight_unit,weight_calibration,length,length_unit,depth,depth_unit
169,2009-07-07,paling,1,2,81200100,Zandplaat Kastel,137700,193386,35.8,,g,-3.6758253327570856,26.2,cm,174,cm
170,2009-07-07,paling,1,2,81200100,Zandplaat Kastel,137700,193386,169.6,,g,2.3290712130255997,45.7,cm,169,cm
171,2009-07-07,kolblei,1,2,81200100,Zandplaat Kastel,137700,193386,318.6,,g,2.3676174879074097,26.8,cm,162,cm
172,2009-07-07,brasem,1,2,81200100,Zandplaat Kastel,137700,193386,633.3,,g,-3.2951891026459634,34.8,cm,191,cm
173,2009-07-07,paling,1,2,81200100,Zandplaat Kastel,137700,193386,23.7,,g,-4.560985863208771,23.2,cm,129,cm
174,2009-07-07,paling,1,2,81200100,Zandplaat Kastel,137700,193386,38.6,,g,4.697024412453175,27.9,cm,165,cm
175,2009-07-07,paling,1,2,81200100,Zandplaat Kastel,137700,193386,56.7,,g,1.3162007043138146,31.1,cm,80,cm
176,2009-07-07,paling,1,2,81200100,Zandplaat Kastel,137700,193386,62.9,,g,-3.089269900228828,31.7,cm,129,cm
177,2009-07-07,paling,1,2,81200100,Zandplaat Kastel,137700,193386,48.9,,g,-1.6919541428796947,32,cm,148,cm
178,2009-07-07,paling,1,2,81200100,Zandplaat Kastel,137700,193386,57.4,,g,3.501739806961268,33.2,cm,174,cm
179,2009-07-07,kolblei,1,2,81200100,Zandplaat Kastel,137700,193386,248,,g,-2.5329180993139744,24.6,cm,187,cm
180,2009-07-07,paling,1,2,81200100,Zandplaat Kastel,137700,193386,65.1,,g,2.559125979896635,33.5,cm,148,cm
181,2009-07-07,brasem,1,2,81200100,Zandplaat Kastel,137700,193386,490.8,,g,2.4982462846674025,31.1,cm,124,cm
182,2009-07-07,paling,1,2,81200100,Zandplaat Kastel,137700,193386,153.3,,g,2.499561421573162,43.9,cm,53,cm
183,2009-07-07,snoekbaars,1,2,81200100,Zandplaat Kastel,137700,193386,75,,g,4.931604054290801,22.5,cm,66,cm
184,2009-07-07,paling,1,2,81200100,Zandplaat Kastel,137700,193386,366,,g,-0.7266738335601985,58.2,cm,124,cm
185,2009-07-07,paling,1,2,81200100,Zandplaat Kastel,137700,193386,922.9,,g,3.607293078675866,75.2,cm,59,cm
186,2009-07-07,kolblei,1,2,81200100,Zandplaat Kastel,137700,193386,111.7,,g,-3.182706094812602,20.9,cm,96,cm
187,2009-07-07,paling,1,2,81200100,Zandplaat Kastel,137700,193386,68.3,,g,-4.4464582041837275,33.2,cm,41,cm
188,2009-07-07,brasem,1,2,81200100,Zandplaat Kastel,137700,193386,645.3,,g,3.9901795936748385,36.2,cm,118,cm
189,2009-07-08,steurgarnaal,1,2,81200100,Zandplaat Kastel,137700,193386,,0.9229151649775951,g,2.3853490129113197,,cm,130,cm
190,2009-07-08,chinese_wolhandkrab,2,2,81200100,Zandplaat Kastel,137700,193386,,19.948359274742753,g,1.2825379008427262,,cm,148,cm
191,2009-07-08,paling,1,2,81200100,Zandplaat Kastel,137700,193386,355.6,,g,2.4173200922086835,55.8,cm,26,cm
192,2009-07-08,paling,1,2,81200100,Zandplaat Kastel,137700,193386,438.6,,g,4.550987076945603,58.5,cm,159,cm
193,2009-07-08,paling,1,2,81200100,Zandplaat Kastel,137700,193386,516.5,,g,3.0273309466429055,68.9,cm,199,cm
194,2009-07-08,paling,1,2,81200100,Zandplaat Kastel,137700,193386,725,,g,-4.613383603282273,73.6,cm,154,cm
